Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-29283,DIM SUM|Shrimp & Pork Siu Mai,OK - DIM SUM,Red,True,False,False,239.51455131500015,1.6921872900000008,0.0035192465,27.36,915.77,649.58,4.59,74.2,2483.64,0.01
R-64238,DIM SUM|Shrimp HAGOW (3),OK - DIM SUM,Red,True,False,False,33.974849999999996,0.1276499999999999,0.0,2.44,92.34,1132.49,4.26,81.33,3078.0,0.0
R-30962,DIM SUM|Turnip Cake,OK - DIM SUM,Yellow,False,True,False,62.11800000000074,0.6038400000000071,0.1995119999999983,17.1,523.13,152.25,1.48,41.91,1282.18,0.49
R-29282,DIM SUM|Vegetable Gyoza (3),OK - DIM SUM,Green,False,False,True,93.36360867900014,1.3540711140000017,0.0232270269,23.02,751.83,66.19,0.96,16.32,533.0,0.02
R-52601,DIM SUM|Wrap Sticky Rice (1),OK - DIM SUM,Yellow,False,True,False,539.6600000000001,5.50875,0.0,168.35,2396.69,431.73,4.41,134.68,1917.35,0.0
R-30406,G&G|Croissant|Multigrain|OK ,OK - GRAB & GO,Yellow,False,True,False,68.51250000000007,0.6660000000000008,0.2200499999999957,18.86,576.98,152.25,1.48,41.91,1282.18,0.49
R-44861,GBL|Pho Tofu,OK - GLOBAL KITCHEN ,Green,False,False,True,467.41618864035064,2.9574792365639135,0.886791517823856,108.67,653.29,53.52,0.34,12.44,74.8,0.1
R-73334,GLB|Bami Goreng,OK - GLOBAL KITCHEN ,Green,False,False,True,510.41642069722064,4.374126291588926,1.2626060161933508,97.7,4996.99,97.22,0.83,18.61,951.81,0.24
R-56827,GLB|Chickpea Vindaloo,OK - GLOBAL KITCHEN ,Green,False,False,True,443.7729066290396,2.5522452664996473,1.6717603663181966,98.51,1267.22,102.73,0.59,22.8,293.34,0.39
R-73319,GLB|Chili Coconut Chowmein,OK - GLOBAL KITCHEN ,Green,False,False,True,564.6610171692562,3.7571413657295127,0.8849316881329913,51.47,1658.35,109.64,0.73,9.99,322.01,0.17
